iter	Passed	Remaining
662	1118	568
663	1119	566
664	1121	564
665	1122	562
666	1124	561
667	1127	560
668	1129	558
669	1130	556
670	1134	556
671	1136	554
672	1138	553
673	1139	551
674	1141	549
675	1142	547
676	1143	545
677	1145	543
678	1146	542
679	1148	540
680	1150	538
681	1151	537
682	1154	535
683	1156	534
684	1158	532
685	1160	531
686	1161	529
687	1163	527
688	1164	525
689	1166	524
690	1168	522
691	1170	520
692	1171	519
693	1173	517
694	1174	515
695	1176	513
696	1177	512
697	1179	510
698	1180	508
699	1182	506
700	1184	505
701	1186	503
702	1187	501
703	1188	499
704	1190	498
705	1191	496
706	1193	494
707	1194	492
708	1198	491
709	1200	490
710	1202	488
711	1203	486
712	1205	485
713	1207	483
714	1209	482
715	1211	480
716	1213	478
717	1214	477
718	1216	475
719	1217	473
720	1219	471
721	1220	470
722	1222	468
723	1223	466
724	1225	464
725	1227	463
726	1229	461
727	1230	459
728	1232	458
729	1233	456
730	1234	454
731	1236	452
732	1237	450
733	1239	449
734	1241	447
735	1243	446
736	1245	444
737	1246	442
738	1247	440
739	1249	438
740	1250	437
741	1252	435
742	1254	433
743	1256	432
744	1258	430
745	1259	428
746	1261	427
747	1262	425
748	1264	423
749	1265	421
750	1267	420
751	1269	418
752	1271	417
753	1272	415
754	1274	413
755	1275	411
756	1277	409
757	1278	408
758	1280	406
759	1281	404
760	1283	402
761	1284	401
762	1286	399
763	1287	397
764	1288	395
765	1290	394
766	1292	392
767	1294	391
768	1295	389
769	1297	387
770	1298	385
771	1300	384
772	1301	382
773	1303	380
774	1305	378
775	1307	377
776	1308	375
777	1310	373
778	1311	372
779	1313	370
780	1314	368
781	1316	367
782	1318	365
783	1320	363
784	1322	362
785	1324	360
786	1325	358
787	1327	357
788	1329	355
789	1331	353
790	1332	352
791	1334	350
792	1337	349
793	1339	347
794	1340	345
795	1342	343
796	1343	342
797	1345	340
798	1346	338
799	1349	337
800	1351	335
801	1352	334
802	1354	332
803	1356	330
804	1358	328
805	1359	327
806	1361	325
807	1364	324
808	1366	322
809	1367	320
810	1368	319
811	1370	317
812	1372	315
813	1373	313
814	1375	312
815	1377	310
816	1379	308
817	1380	307
818	1382	305
819	1383	303
820	1385	302
821	1386	300
822	1388	298
823	1389	296
824	1392	295
825	1394	293
826	1396	292
827	1397	290
828	1399	288
829	1400	286
830	1401	285
831	1403	283
832	1406	281
833	1408	280
834	1409	278
835	1411	276
836	1412	275
837	1414	273
838	1415	271
839	1417	269
840	1419	268
841	1421	266
842	1423	265
843	1425	263
844	1426	261
845	1428	259
846	1429	258
847	1430	256
848	1432	254
849	1433	253
850	1435	251
851	1437	249
852	1438	247
853	1440	246
854	1442	244
855	1444	243
856	1446	241
857	1447	239
858	1449	237
859	1450	236
860	1452	234
861	1453	232
862	1455	231
863	1457	229
864	1459	227
865	1461	226
866	1462	224
867	1464	222
868	1465	220
869	1466	219
870	1468	217
871	1471	215
872	1472	214
873	1474	212
874	1475	210
875	1477	209
876	1478	207
877	1480	205
878	1481	204
879	1483	202
880	1485	200
881	1487	198
882	1488	197
883	1490	195
884	1491	193
885	1493	192
886	1494	190
887	1496	188
888	1497	186
889	1499	185
890	1501	183
891	1502	181
892	1504	180
893	1505	178
894	1507	176
895	1508	175
896	1510	173
897	1511	171
898	1513	170
899	1515	168
900	1517	166
901	1518	165
902	1520	163
903	1521	161
904	1523	159
905	1524	158
906	1526	156
907	1528	154
908	1530	153
909	1532	151
910	1534	149
911	1535	148
912	1537	146
913	1538	144
914	1540	143
915	1542	141
916	1544	139
917	1546	138
918	1547	136
919	1549	134
920	1550	133
921	1552	131
922	1553	129
923	1555	127
924	1557	126
925	1559	124
926	1560	122
927	1562	121
928	1563	119
929	1565	117
930	1567	116
931	1572	114
932	1574	113
933	1575	111
934	1577	109
935	1578	107
936	1580	106
937	1581	104
938	1583	102
939	1585	101
940	1587	99
941	1589	97
942	1590	96
943	1592	94
944	1593	92
945	1594	91
946	1596	89
947	1597	87
948	1599	85
949	1600	84
950	1602	82
951	1603	80
952	1605	79
953	1607	77
954	1608	75
955	1610	74
956	1611	72
957	1613	70
958	1614	69
959	1616	67
960	1617	65
961	1618	63
962	1620	62
963	1622	60
964	1623	58
965	1625	57
966	1626	55
967	1628	53
968	1629	52
969	1631	50
970	1632	48
971	1634	47
972	1636	45
973	1637	43
974	1639	42
975	1640	40
976	1642	38
977	1643	36
978	1645	35
979	1646	33
980	1647	31
981	1649	30
982	1651	28
983	1652	26
984	1654	25
985	1655	23
986	1657	21
987	1658	20
988	1660	18
989	1661	16
990	1663	15
991	1665	13
992	1666	11
993	1668	10
994	1669	8
995	1671	6
996	1672	5
997	1674	3
998	1675	1
999	1677	0
